date,hour,rides
2022-02-09,16,944
2022-02-09,17,996
2022-02-09,18,906
2022-02-09,19,738
2022-02-09,20,524
2022-02-09,21,381
2022-02-09,22,308
2022-02-09,23,222
2022-02-10,0,154
2022-02-10,1,76
2022-02-10,2,42
2022-02-10,3,32
2022-02-10,4,47
2022-02-10,5,94
2022-02-10,6,222
2022-02-10,7,460
2022-02-10,8,709
2022-02-10,9,701
2022-02-10,10,745
2022-02-10,11,790
2022-02-10,12,831
2022-02-10,13,807
2022-02-10,14,902
2022-02-10,15,915
2022-02-10,16,958
2022-02-10,17,1075
2022-02-10,18,1021
2022-02-10,19,897
2022-02-10,20,588
2022-02-10,21,449
2022-02-10,22,434
2022-02-10,23,300
2022-02-11,0,206
2022-02-11,1,108
2022-02-11,2,56
2022-02-11,3,49
2022-02-11,4,56
2022-02-11,5,97
2022-02-11,6,200
2022-02-11,7,450
2022-02-11,8,641
2022-02-11,9,646
2022-02-11,10,710
2022-02-11,11,752
2022-02-11,12,765
2022-02-11,13,784
2022-02-11,14,873
2022-02-11,15,935
2022-02-11,16,1005
2022-02-11,17,1040
2022-02-11,18,1175
2022-02-11,19,1048
2022-02-11,20,665
2022-02-11,21,536
2022-02-11,22,536
2022-02-11,23,438
2022-02-12,0,393
2022-02-12,1,360
2022-02-12,2,253
2022-02-12,3,158
2022-02-12,4,122
2022-02-12,5,79
2022-02-12,6,112
2022-02-12,7,145
2022-02-12,8,233
2022-02-12,9,314
2022-02-12,10,441
2022-02-12,11,524
2022-02-12,12,603
2022-02-12,13,644
2022-02-12,14,645
2022-02-12,15,655
2022-02-12,16,678
2022-02-12,17,785
2022-02-12,18,821
2022-02-12,19,710
2022-02-12,20,587
2022-02-12,21,455
2022-02-12,22,523
2022-02-12,23,462
2022-02-13,0,435
2022-02-13,1,307
2022-02-13,2,234
2022-02-13,3,164
2022-02-13,4,131
2022-02-13,5,95
2022-02-13,6,117
2022-02-13,7,157
2022-02-13,8,184
2022-02-13,9,276
2022-02-13,10,390
2022-02-13,11,434
2022-02-13,12,513
2022-02-13,13,496
2022-02-13,14,592
2022-02-13,15,642
2022-02-13,16,747
2022-02-13,17,773
2022-02-13,18,615
2022-02-13,19,471
2022-02-13,20,454
2022-02-13,21,466
2022-02-13,22,469
2022-02-13,23,245
2022-02-14,0,195
2022-02-14,1,140
2022-02-14,2,70
2022-02-14,3,47
2022-02-14,4,75
2022-02-14,5,105
2022-02-14,6,255
2022-02-14,7,479
2022-02-14,8,681
2022-02-14,9,722
2022-02-14,10,790
2022-02-14,11,755
2022-02-14,12,763
2022-02-14,13,785
2022-02-14,14,827
2022-02-14,15,908
2022-02-14,16,959
2022-02-14,17,1071
2022-02-14,18,1079
2022-02-14,19,841
2022-02-14,20,557
2022-02-14,21,507
2022-02-14,22,404
2022-02-14,23,249
2022-02-15,0,205
2022-02-15,1,120
2022-02-15,2,84
2022-02-15,3,60
2022-02-15,4,57
2022-02-15,5,101
2022-02-15,6,253
2022-02-15,7,533
2022-02-15,8,799
2022-02-15,9,846
2022-02-15,10,817
2022-02-15,11,748
2022-02-15,12,825
2022-02-15,13,856
2022-02-15,14,893
2022-02-15,15,902
2022-02-15,16,976
2022-02-15,17,1050
2022-02-15,18,981
2022-02-15,19,783
2022-02-15,20,558
2022-02-15,21,375
2022-02-15,22,356
2022-02-15,23,226
2022-02-16,0,155
2022-02-16,1,77
2022-02-16,2,31
2022-02-16,3,35
2022-02-16,4,53
2022-02-16,5,100
2022-02-16,6,224
2022-02-16,7,482
2022-02-16,8,747
2022-02-16,9,794
2022-02-16,10,767
2022-02-16,11,790
2022-02-16,12,835
2022-02-16,13,881
2022-02-16,14,896
2022-02-16,15,899
2022-02-16,16,1006
2022-02-16,17,1116
2022-02-16,18,1050
2022-02-16,19,772
2022-02-16,20,574
2022-02-16,21,514
2022-02-16,22,449
2022-02-16,23,269
2022-02-17,0,195
2022-02-17,1,82
2022-02-17,2,44
2022-02-17,3,32
2022-02-17,4,50
2022-02-17,5,80
2022-02-17,6,219
2022-02-17,7,431
2022-02-17,8,644
2022-02-17,9,692
2022-02-17,10,670
2022-02-17,11,665
2022-02-17,12,771
2022-02-17,13,740
2022-02-17,14,802
2022-02-17,15,862
2022-02-17,16,823
2022-02-17,17,656
2022-02-17,18,641
2022-02-17,19,587
2022-02-17,20,482
2022-02-17,21,484
2022-02-17,22,451
2022-02-17,23,342
2022-02-18,0,284
2022-02-18,1,251
2022-02-18,2,191
2022-02-18,3,102
2022-02-18,4,88
2022-02-18,5,103
2022-02-18,6,251
2022-02-18,7,483
2022-02-18,8,714
2022-02-18,9,758
2022-02-18,10,779
2022-02-18,11,774
2022-02-18,12,865
2022-02-18,13,934
2022-02-18,14,965
2022-02-18,15,1084
2022-02-18,16,1124
2022-02-18,17,1205
2022-02-18,18,1282
2022-02-18,19,1213
2022-02-18,20,844
2022-02-18,21,641
2022-02-18,22,589
2022-02-18,23,582
2022-02-19,0,490
2022-02-19,1,399
2022-02-19,2,266
2022-02-19,3,159
2022-02-19,4,114
2022-02-19,5,94
2022-02-19,6,128
2022-02-19,7,181
2022-02-19,8,259
2022-02-19,9,414
2022-02-19,10,547
2022-02-19,11,649
2022-02-19,12,740
2022-02-19,13,699
2022-02-19,14,700
2022-02-19,15,709
2022-02-19,16,703
2022-02-19,17,768
2022-02-19,18,932
2022-02-19,19,884
2022-02-19,20,657
2022-02-19,21,542
2022-02-19,22,578
2022-02-19,23,508
2022-02-20,0,467
2022-02-20,1,404
2022-02-20,2,329
2022-02-20,3,202
2022-02-20,4,138
2022-02-20,5,106
2022-02-20,6,114
2022-02-20,7,147
2022-02-20,8,195
2022-02-20,9,358
2022-02-20,10,486
2022-02-20,11,546
2022-02-20,12,597
2022-02-20,13,588
2022-02-20,14,547
2022-02-20,15,661
2022-02-20,16,566
2022-02-20,17,606
2022-02-20,18,700
2022-02-20,19,634
2022-02-20,20,513
2022-02-20,21,431
2022-02-20,22,486
2022-02-20,23,373
2022-02-21,0,239
2022-02-21,1,159
2022-02-21,2,74
2022-02-21,3,66
2022-02-21,4,81
2022-02-21,5,118
2022-02-21,6,177
2022-02-21,7,302
2022-02-21,8,466
2022-02-21,9,555
2022-02-21,10,632
2022-02-21,11,693
2022-02-21,12,780
2022-02-21,13,765
2022-02-21,14,823
2022-02-21,15,869
2022-02-21,16,826
2022-02-21,17,785
2022-02-21,18,714
2022-02-21,19,617
2022-02-21,20,541
2022-02-21,21,407
2022-02-21,22,294
2022-02-21,23,253
2022-02-22,0,166
2022-02-22,1,98
2022-02-22,2,51
2022-02-22,3,36
2022-02-22,4,46
2022-02-22,5,84
2022-02-22,6,252
2022-02-22,7,559
2022-02-22,8,927
2022-02-22,9,865
2022-02-22,10,847
2022-02-22,11,802
2022-02-22,12,938
2022-02-22,13,920
2022-02-22,14,816
2022-02-22,15,931
2022-02-22,16,1034
2022-02-22,17,1085
